,synthetic_promoter,Rho_basal_wt,Rho_basal_crxnull,hsp68_basal_wt,NRL_motif,CRX_affinity_score,rho_basal_norm,CRX_motif,log2_expr
32,cccN,1.942377724,2.389802244,10.7723818,1,2.9996298,17.81818095,3,4.155278155183329
33,cCcN,3.281971033,2.924896009,11.62612099,1,2.9996298,30.10678769,3,4.9120168796375685
34,cCCn,2.68731547,2.447078144,12.28220559,1,2.9996298,24.65178257,3,4.623620066517601
35,CCCN,3.141352291,3.691172396,22.89356506,1,2.9996298,28.81683767,3,4.848840119222739
36,CcNc,2.647795673,2.369784352,14.27476777,1,2.9996298,24.28925221,3,4.602246169483149
37,cnCC,1.714917999,2.15562678,12.72482024,1,2.9996298,15.73160506,3,3.97559396805482
38,cNcC,2.02463811,1.811751568,8.448696786,1,2.9996298,18.57278724,3,4.215118433347679
39,CnCc,2.451146907,2.367632315,15.95304402,1,2.9996298,22.48531714,3,4.490911327263365
40,CnCC,2.211890262,2.315573646,15.3508664,1,2.9996298,20.29052354,3,4.342734185157751
41,CNCc,2.454767091,2.31364385,18.04082917,1,2.9996298,22.51852649,3,4.493040521989325
42,ncCc,2.063611105,1.969336922,15.50444869,1,2.9996298,18.93030158,3,4.242625489790824
43,nCcc,0.956537598,2.534135207,16.9422818,1,2.9996298,8.774688775,3,3.1333479561036106
44,Nccc,0.218551136,1.906636688,13.10177602,1,2.9996298,2.004853969,3,1.0034971564447368
45,NcCC,1.192391443,2.346752702,11.9172457,1,2.9996298,10.93826717,3,3.4513123007274538
46,NCCc,0.470299533,2.07399383,19.39682008,1,2.9996298,4.314239233,3,2.109106178977085
47,NCCC,0.271350931,1.805334949,15.13683857,1,2.9996298,2.489206878,3,1.3156861376961049
48,c,0.559031087,0.430122129,0.02361364,0,0.9998766,5.128208043,1,2.358454790918464
49,C,0.570656982,0.403284654,0.094921744,0,0.9998766,5.234856868,1,2.388150091377749
50,cc,0.485923836,1.47953138,0.274880055,0,1.9997532,4.457566998,2,2.1562564819682635
51,cC,0.783183435,1.072848182,0.175057459,0,1.9997532,7.184444093,2,2.8448765303361356
52,Cc,0.71360422,1.559489251,0.243132805,0,1.9997532,6.546167084,2,2.7106504261195994
53,CC,0.520750379,1.200849286,0.399291453,0,1.9997532,4.777044326,2,2.2561182635798906
54,ccc,0.102794312,1.782966304,1.899748062,0,2.9996298,0.94297192,3,-0.08471328419898685
55,ccC,0.227686659,1.640838474,1.697874385,0,2.9996298,2.088657649,3,1.0625760402432853
56,cCc,0.267943018,2.086757826,1.436810077,0,2.9996298,2.457944776,3,1.2974525022500614
57,cCC,0.211072042,1.619952383,1.470767959,0,2.9996298,1.936245351,3,0.9532617750523921
58,Ccc,0.15362086,1.830854328,2.410079205,0,2.9996298,1.409223473,3,0.49490041067121604
59,CcC,0.342785374,1.690082679,1.83481737,0,2.9996298,3.14450261,3,1.652831833054925
60,CCc,0.174071987,1.671927796,2.769245247,0,2.9996298,1.596829558,3,0.6752103309389537
61,CCC,0.106287671,1.251950158,2.507980149,0,2.9996298,0.975017851,3,-0.03649946237032363
62,cccc,0.267949011,0.93109558,0.3030382,0,3.9995064,2.457999752,4,1.2974847701497982
63,Cccc,0.020350686,1.000949279,1.610722797,0,3.9995064,0.186684702,4,-2.421324385068268
64,CccC,0.069295951,1.826175191,4.147357708,0,3.9995064,0.635678519,4,-0.6536307575270486
65,CCCC,0.0495322,0.556801533,1.158694035,0,3.9995064,0.454377999,4,-1.138035113702395
66,basal_only,0.109010529,0.02826388,0.021857402,0,0.0,1.0,0,0.0
